cpc_id;query;variant;qid;label;description;aliases;lang
H00197;Giovanni Stanislao Hrovatin;no;;;;;
H00197;Giovanni Hrovatin;yes;;;;;
H00197;Stanislao Hrovatin;yes;;;;;
H00229;Giovanni Huglievic;no;;;;;
I00152;Alberto Iacques;no;;;;;
I00219;Francesco Iannantuono;no;;;;;
I00273;Umberto Iannoni;no;;;;;
I00550;Tommaso Imperadori;no;;;;;
I00614;Gino Incitti;no;;;;;
I00799;Angelo Innocenzi;no;;;;;
I00811;Orlando Innocenzi;no;;;;;
J00127;Slava Jardas;no;;;;;
J00176;Pietro Jelmini;no;;;;;
J00278;Bosco Jokic;no;;;;;
K00027;Milan Kalaric;no;;;;;
K00033;Vido Kalebic;no;;;;;
K00106;Michele Karlic;no;;;;;
K00170;Cristiano Kaucich;no;;;;;
K00298;Giuseppe Klanjscek;no;;;;;
K00538;Gustavo Kollers;no;;;;;
K00700;Vittorio Kosmac;no;;;;;
K00775;Stanislao Kovacic;no;;;;;
K00811;Giuseppe Krait;no;;;;;
K01016;Nicola Kucic;no;;;;;
K01101;Antonio Kusmanic;no;;;;;
L00186;Terra Salvatore La;no;;;;;
L00186;Terra La;yes;Q660822;Seeland administrative district;"administrative district of the canton of Bern; Switzerland (Verwaltungskreis)";['Terra Lacuum'];it
L00186;Terra La;yes;Q104156437;Terra Lawson-Remer;American politician;[];it
L00186;Terra La;yes;Q27726104;"Terra Latinoamericana : organo cientifico de la Sociedad Mexicana de la Ciencia del Suelo; A.C";journal;[];it
L00186;Terra La;yes;Q122306874;Terra Lander II - Rockslide Rescue;2020 video game;[];it
L00186;Terra La;yes;Q124073901;Terra Lander Remastered;2015 video game;[];it
L00186;Terra La;yes;Q34958310;Terra Lakes Lake Dam;"dam in McIntosh County; Oklahoma; United States of America";[];it
L00186;Terra La;yes;Q7703100;Terra Lago;"gated community in Riverside County; California";[];it
L00186;Terra La;yes;Q116795244;Terra L Lasho;researcher;['Terra Lasho'];it
L00186;Terra La;yes;Q1032732;Lannoo;Belgian publisher;['Terra Lannoo'];it
L00186;Terra La;yes;Q132050809;Terra Lacta;;[];it
L00186;Terra La;yes;Q134684249;Terra Lacke Gmbh;;[];it
L00186;Terra La;yes;Q113745786;Terra Lacta;;[];it
L00186;Salvatore La;yes;Q3946106;Salvatore Lauricella;Italian politician and mayor (1922–1996);[];it
L00186;Salvatore La;yes;Q44566877;Salvatore La Rosa;researcher;[];it
L00186;Salvatore La;yes;Q2215713;Salvatore Lanzetti;Italian cello player and composer;[];it
L00186;Salvatore La;yes;Q970864;Salvatore Lanna;Italian footballer and manager;[];it
L00186;Salvatore La;yes;Q3946104;Salvatore Ladu;Italian politician (1945–2017);[];it
L00186;Salvatore La;yes;Q3946102;Salvatore Landolina;Italian actor;[];it
L00186;Salvatore La;yes;Q3946108;Salvatore Lazzaro;Italian actor;[];it
L00186;Salvatore La;yes;Q89171534;Salvatore La China;researcher;[];it
L00186;Salvatore La;yes;Q21513426;Salvatore La Rocca;Italian mycologist;[];it
L00186;Salvatore La;yes;Q3946107;Salvatore Lauro;Italian politician;[];it
L00186;Salvatore La;yes;Q967183;Salvatore La Barbera;Sicilian mafioso (1922-1963);[];it
L00186;Salvatore La;yes;Q19678118;Salvatore La Marca;Italian politician (1921-1979);[];it
L00186;Salvatore La;yes;Q110804756;Salvatore La Rocca;Italian politician;[];it
L00186;Salvatore La;yes;Q57907777;Salvatore Larosa;"researcher; ORCID id # 0000-0003-2588-6082";[];it
L00186;Salvatore La;yes;Q102392209;Salvatore La Torre;;[];it
L00186;Salvatore La;yes;Q52813080;Salvatore La Marca;"kindergarten in Mazzarino; Caltanissetta; Sicily; Italy";[];it
L00186;Salvatore La;yes;Q65586904;Salvatore La Rocca;French politician;[];it
L00186;Salvatore La;yes;Q102284447;Salvatore Lavigna;composer;[];it
L00186;Salvatore La;yes;Q52811251;Salvatore La Malfa;"primary school in Milazzo; Messina; Sicily; Italy";[];it
L00186;Salvatore La;yes;Q108775947;Salvatore Latora;Italian philosopher and teacher (born 1931);[];it
L00761;Giuseppe Landini;no;Q97577603;Giuseppe Landini;;[];it
L01201;Emilio Latini;no;;;;;
L01280;Giuseppe Laudani;no;;;;;
L01322;Amerigo Laurenti;no;;;;;
L01424;Palmiro Lavagi;no;;;;;
L01587;Giovanni Lazzari;no;Q103973110;Giovanni Lazzari;Italian librarian (born 1947);[];it
L01587;Giovanni Lazzari;no;Q3767558;Giovanni Lazzarini;Italian architect;[];it
L01587;Giovanni Lazzari;no;Q122615712;Giovanni Lazzarini;Wikimedia human name disambiguation page;[];it
L01587;Giovanni Lazzari;no;Q120512068;Menghino;;['Giovanni Lazzarini'];it
L01587;Giovanni Lazzari;no;Q102431176;Giovanni Lazzarini;Ph.D. Université Bordeaux 1 2015;[];it
L01764;Enrico Lazzini;no;;;;;
L01815;Francesco Leban;no;;;;;
L02116;Ettore Lenzi;no;;;;;
L02259;Camillo Leone;no;Q113125204;Camillo Leone;;[];it
L02770;Albino Licen;no;;;;;
L02881;Zeffiro Limiti;no;;;;;
L02995;Valentino Lipicar;no;;;;;
L03172;Giobatta Littardi;no;;;;;
L03196;Aldo Liverani;no;;;;;
L03206;Leonida Liverani;no;;;;;
L03239;Otello Livi;no;;;;;
L03625;Vincenzo Lofiego;no;;;;;
L03757;Claudio Lomani;no;;;;;
L03842;Gino Lombardi;no;Q76880849;Gino Lombardi;;[];it
L03842;Gino Lombardi;no;Q130210676;Gino Lombardi;born 1926.02.12,  painter;[];it
L03940;Bartolomeo Lombardo;no;;;;;
L03967;Giovanni Lombardo;no;Q67173206;Giovanni Pietro Lombardo;Italian psychologist;['Giovanni Lombardo'];it
L03967;Giovanni Lombardo;no;Q3106978;Giovanni Lombardo;cardinal;[];it
L03967;Giovanni Lombardo;no;Q108436632;Giovanni Lombardo;bishop of the Roman Catholic Church;[];it
L03967;Giovanni Lombardo;no;Q59623009;Giovanni Lombardo;;[];it
L03967;Giovanni Lombardo;no;Q41805190;Giovanni Lombardo;economist (Bank for International Settlements (BIS));[];it
L03967;Giovanni Lombardo;no;Q21543295;Giovanni Lombardo;Italian aesthetician (born 1950);[];it
L03967;Giovanni Lombardo;no;Q137145444;Giovanni Lombardo;;[];it
L03967;Giovanni Lombardo;no;Q370632;Giovanni Lombardo Radice;Italian actor (1954–2023);[];it
L03967;Giovanni Lombardo;no;Q16227325;Giovanni Lombardo Calamia;Italian painter (1849-1894);[];it
L04000;Franco Lombardozzi;no;;;;;
L04057;Giovanni Longagnani;no;;;;;
L04172;Silvio Longo;no;Q2262246;Silvio Longobucco;Italian association football player (1951–2022);[];it
L04186;Giuseppe Longobardo;no;;;;;
L04529;Clelio Loschi;no;;;;;
L04766;Benvenuto Luca;no;;;;;
L04772;Ernesto Lucaccini;no;;;;;
L04774;Renato Lucaccini;no;;;;;
L05058;Umberto Lucherini;no;;;;;
L05246;Desiderio Lugano;no;;;;;
L05283;Fermo Lugli;no;;;;;
L05301;Umberto Lugoboni;no;;;;;
L05431;Luigi Lunardi;no;;;;;
L05526;Giovanni Lupi;no;Q115688689;Giovanni Lupi;Italian notary (1597-1670);[];it
L05526;Giovanni Lupi;no;Q115688846;Giovanni Lupi;"Italian filmmaker; painter and writer (1969-)";[];it
L05526;Giovanni Lupi;no;Q18075741;Nino Lupi;Swiss association football player (1908-1990);['Giovanni Lupi'];it
L05526;Giovanni Lupi;no;Q666448;Giovanni Luppis;Austrian naval officer (1813–1875);['Giovanni Lupis'];it
L05526;Giovanni Lupi;no;Q80553803;Giovanni Battista Lupicini;;['Giovanni Lupicini'];it
L05730;Antonio Luzi;no;Q61873923;Antonio Luzia Fernandes;Brazilian politician;[];it
M00176;Ugo Macchidani;no;;;;;
M00634;Ettore Magarotto;no;;;;;
M00638;Rinaldo Magarotto;no;;;;;
M00830;Alfredo Maghetti;no;;;;;
M00884;Elio Magli;no;Q109829549;Elio Magli;;[];it
M00925;Vincenzo Maglio;no;Q4013362;Vincenzo Magliocco;Italian aviator;[];it
M00991;Eolo Magnani;no;;;;;
M01048;Pio Magnani;no;;;;;
M01056;Ugo Arturo Magnani;no;;;;;
M01056;Ugo Magnani;yes;;;;;
M01056;Arturo Magnani;yes;;;;;
M01591;Fernando Malagoli;no;;;;;
M01682;Santi Malatesta;no;;;;;
M02142;Giuseppe Manca;no;;;;;
M02162;Vittorio Manciga;no;;;;;
M02311;Romolo Mancini;no;;;;;
M02318;Spartaco Mancini;no;;;;;
M02402;Milienko Mandic;no;;;;;
M02634;Massimo Manfredini;no;;;;;
M03172;Francesco Manuguerra;no;;;;;
M03206;Luigi Urbano Manzelli;no;;;;;
M03206;Luigi Manzelli;yes;;;;;
M03206;Urbano Manzelli;yes;;;;;
M03249;Mario Manzini;no;Q131697746;Mario Manzini;;[];it
M03318;Vincenzo Manzoni;no;;;;;
M03442;Alfredo Maranesi;no;;;;;
M03513;Giovanni Maranzano;no;;;;;
M03592;Virgilio Marazzi;no;;;;;
M03621;Emilio Gerolamo Marcaletti;no;;;;;
M03621;Emilio Marcaletti;yes;;;;;
M03621;Gerolamo Marcaletti;yes;;;;;
M03638;Augusto Marcanzani;no;;;;;
M03669;Angelo Marcelli;no;Q111677148;Angelo Marcelli;mathematical author;[];it
M03724;Ettore Marchesan;no;;;;;
M03774;Dante Battista Marchesi;no;;;;;
M03774;Dante Marchesi;yes;;;;;
M03774;Battista Marchesi;yes;;;;;
M04072;Domenico Marchiando;no;;;;;
M04453;Zeno Marcucci;no;;;;;
M04474;Domenico Mardente;no;;;;;
M04513;Salvatore Prospero Marella;no;;;;;
M04513;Salvatore Marella;yes;;;;;
M04513;Prospero Marella;yes;;;;;
M04654;Alessandro Mari;no;Q16525162;Alessandro Mari;Italian writer and translator;[];it
M04654;Alessandro Mari;no;Q4716374;Alessandro Mari;Italian painter (1650-1707);[];it
M04654;Alessandro Mari;no;Q176742;Alessandro Galilei;Italian architect and engineer of the Baroque period (1691–1737);['Alessandro Maria Gaetano Galilei'];it
M04654;Alessandro Mari;no;Q71141113;Alessandro Maria Paganini;researcher;[];it
M04654;Alessandro Mari;no;Q57412036;Alessandro Maria Vannucchi;hematologist;[];it
M04654;Alessandro Mari;no;Q57820871;Alessandro M. Michetti;Italian geologist (born 1961);['Alessandro Maria Michetti'];it
M04654;Alessandro Mari;no;Q15429814;Alexandro Marie Antoin Fridzeri;"Italian musician; mandolin virtuoso";['Alessandro Mario Antonio Fridzeri'];it
M04654;Alessandro Mari;no;Q64750984;Alessandro Maria Litta;Roman Catholic archbishop;[];it
M04654;Alessandro Mari;no;Q56417533;Alessandro Marino;Italian computer scientist;[];it
M04654;Alessandro Mari;no;Q48990069;Alessandro Mariotti;sammarinese alpine skier;[];it
M04654;Alessandro Mari;no;Q1442510;Alessandro Maria Gottardi;Italian archbishop;[];it
M04654;Alessandro Mari;no;Q108524714;Alessandro Maria;male given name;[];it
M04654;Alessandro Mari;no;Q3610125;Alessandro Mariotti;Italian politician (1876–1952);[];it
M04654;Alessandro Mari;no;Q29982640;Alessandro Marinozzi;Italian cyclist;[];it
M04654;Alessandro Mari;no;Q106035890;Alessandro Viglio;Italian historian (1881-1944);['Alessandro Mario Viglio'];it
M04654;Alessandro Mari;no;Q3610120;Alessandro Maria D'Errico;Italian actor;[];it
M04654;Alessandro Mari;no;Q3610122;Alessandro Maria Calefati;Italian archaeologist and historian (1726-1793);[];it
M04654;Alessandro Mari;no;Q95276203;Alessandro Marini;researcher;[];it
M04654;Alessandro Mari;no;Q60396184;Alessandro Mariotti;researcher;[];it
M04654;Alessandro Mari;no;Q3610123;Alessandro Maria Pagani;Italian bishop (1755-1835);[];it
M04786;Giuseppe Mariani;no;Q3770933;Giuseppe Mariani;Italian writer (1898-1974);[];it
M04786;Giuseppe Mariani;no;Q5565451;Giuseppe Mariani;Italian art director;[];it
M04786;Giuseppe Mariani;no;Q1380791;Giuseppe Mariani;baroque architect from Sicily;[];it
M04786;Giuseppe Mariani;no;Q2106284;Giuseppe Mariani;Italian composer and conductor (1840–1904);[];it
M04786;Giuseppe Mariani;no;Q88158285;Giuseppe Mariani;Italian dermatologist (1885-1963);[];it
M04786;Giuseppe Mariani;no;Q1871402;Giuseppe Mariani;;[];it
M04786;Giuseppe Mariani;no;Q123512021;Pietro Giuseppe Mariani;;['Giuseppe Mariani'];it
M04786;Giuseppe Mariani;no;Q110224717;Giuseppe Mariani;Swiss teacher (1850-1933);[];it
M04786;Giuseppe Mariani;no;Q130541476;Giuseppe Mariani;Italian painter (ca. 1650-1718);[];it
M04786;Giuseppe Mariani;no;Q52479534;GIUSEPPE MARIANI;scientific article published in February 1964;[];it
M04786;Giuseppe Mariani;no;Q2538675;Giuseppe Mariani;Wikimedia disambiguation page;[];it
M04786;Giuseppe Mariani;no;Q44888522;Giuseppe Mariani: the Biography on the fiftieth anniversary of his death;scientific article;[];it
M04882;Giuseppe Mariella;no;;;;;
M04927;Francesco Antonio Marinaccio;no;;;;;
M04927;Francesco Marinaccio;yes;;;;;
M04927;Antonio Marinaccio;yes;;;;;
M05064;Ettore Marini;no;;;;;
M05135;Roberto Marini;no;Q3938944;Roberto Marini;Italian comics artist;[];it
M05135;Roberto Marini;no;Q108063762;Roberto Marini;Italian psychologist and psychotherapist (born 1958);[];it
M05135;Roberto Marini;no;Q91507037;Roberto Marini Ladeira;researcher;[];it
M05191;Gaetano Marino;no;Q33528658;Gaetano Marino;;[];it
M05200;Giuseppe Marino;no;Q62669362;Giuseppe Marino;researcher ORCID 0000-0001-8979-051X;[];it
M05200;Giuseppe Marino;no;Q3770936;Giuseppe Marino;Italian association football player;[];it
M05200;Giuseppe Marino;no;Q98753142;Giuseppe Marino;"(Italian; 1916–1975)";[];it
M05200;Giuseppe Marino;no;Q110256238;Giuseppe Marino;Italian mathematician (born 1956);[];it
M05200;Giuseppe Marino;no;Q21541988;Giuseppe Marino;;[];it
M05200;Giuseppe Marino;no;Q122871005;Giuseppe Marino;"italian engineer; CEO of Hitachi Rail";[];it
M05200;Giuseppe Marino;no;Q138992668;Giuseppe Marino;;[];it
M05200;Giuseppe Marino;no;Q133767256;Giuseppe Marino;;[];it
M05200;Giuseppe Marino;no;Q106890755;Giuseppe Marino Urbani de Gheltof;;[];it
M05200;Giuseppe Marino;no;Q106788440;Giuseppe Marinovich;Dalmatian theologian and poet (1741-1801);[];it
M05200;Giuseppe Marino;no;Q114562687;Giuseppe Marino Garibotto;;[];it
M05200;Giuseppe Marino;no;Q88275268;Giuseppe Marinoni;;[];it
M05200;Giuseppe Marino;no;Q125277962;Giuseppe Marinoni;architect and author;[];it
M05225;Domenico Marinone;no;;;;;
M05348;Vincenzo Mariotti;no;Q57789095;Vincenzo Mariotti;"Italian etcher; ca. 1675-1738";[];it
M05509;Mario Maroncelli;no;;;;;
M05577;Francesco Marozzini;no;;;;;
M05753;Giuseppe Marsili;no;;;;;
M05979;Ferdinando Martinasso;no;;;;;
M05997;Angelo Martinelli;no;Q111746036;Angelo Martinelli;Italian priest and art historian;[];it
M06042;Giovanni Martinelli;no;Q944986;Giovanni Martinelli;Italian operatic tenor (1880–1969);[];it
M06042;Giovanni Martinelli;no;Q3767695;Giovanni Martinelli;Italian painter (1600-1659);[];it
M06042;Giovanni Martinelli;no;Q56810415;Giovanni Martinelli;Italian politician (1919-1980);[];it
M06042;Giovanni Martinelli;no;Q3767697;Giovanni Martinelli;Italian politician (1841-1919);[];it
M06042;Giovanni Martinelli;no;Q3767696;Giovanni Martinelli;Italian entrepreneur (1951–2013);[];it
M06042;Giovanni Martinelli;no;Q122599196;Giovanni Martinelli;Italian publisher and bookseller (1554-1632);[];it
M06042;Giovanni Martinelli;no;Q66370881;Giovanni Martinelli;hematologist;[];it
M06042;Giovanni Martinelli;no;Q90955283;Giovanni Martinelli;researcher (ORCID 0000-0002-1025-4210);[];it
M06042;Giovanni Martinelli;no;Q3767692;Giovanni Martinelli;Wikimedia disambiguation page;[];it
M06042;Giovanni Martinelli;no;Q140247706;"Giovanni Martinelli; Tenor of the N.Y. Metropolitan Opera Company; in Vesti la giubba from the Opera I pagliacci by Leoncavallo";;[];it
M06049;Giulio Avanti Martinelli;no;;;;;
M06049;Giulio Martinelli;yes;Q44806931;Giulio Martinelli;Italian painter;[];it
M06049;Avanti Martinelli;yes;;;;;
M06116;Alessandro Martinetti;no;;;;;
M06345;Vincenzo Martinora;no;;;;;
M06568;Emilio Marzi;no;;;;;
M06641;Romolo Marzoli;no;;;;;
M06777;Francesco Mascia;no;Q115567231;Francesco Mascia;researcher;[];it
M06777;Francesco Mascia;no;Q722215;Francesco Masciarelli;road bicycle racer;[];it
M06777;Francesco Mascia;no;Q94296648;Francesco Masciangelo;;[];it
M06961;Aladino Masini;no;;;;;
M07054;Eugenio Masone;no;;;;;
M07124;Angelo Raffaele Massa;no;;;;;
M07124;Angelo Massa;yes;Q1595674;Angelo Massafra;Italian archbishop (born 1949);[];it
M07124;Angelo Massa;yes;Q3617089;Angelo Massarelli;Italian bishop;[];it
M07124;Angelo Massa;yes;Q3617092;Angelo Massarotti;Italian painter (1653-1723);[];it
M07124;Angelo Massa;yes;Q21208742;Angelo Massardo;Italian lawyer (1872-1947);[];it
M07124;Angelo Massa;yes;Q112625353;Angelo Massari;;[];it
M07124;Angelo Massa;yes;Q124703255;Angelo Massafra;Italian architect;[];it
M07124;Angelo Massa;yes;Q124703296;Angelo Massafra;Italian historian (born 1942);[];it
M07124;Angelo Massa;yes;Q137919618;Angelo Massaro;"Italian human geographer; digital humanist and software developer";[];it
M07124;Angelo Massa;yes;Q187341;Angelo Massagli;American actor;[];it
M07124;Raffaele Massa;yes;;;;;
M07339;J Massida;no;;;;;
M07538;Alberto Masucci;no;;;;;
M07645;Vincenzo Matic;no;;;;;
M07757;Giulio Mattei;no;Q28867774;Giulio Mattei;17th-century Catholic bishop;[];it
M07773;Riccardo Mattei;no;;;;;
M07784;Angelo Matteini;no;;;;;
M07858;Giuseppe Matteucci;no;;;;;
M07970;Francesco Mattioli;no;Q57909797;Francesco Mattioli;"researcher; ORCID id # 0000-0002-7242-3366";[];it
M07970;Francesco Mattioli;no;Q3750266;Francesco Mattioli;Italian volleyball player;[];it
M07970;Francesco Mattioli;no;Q3750267;Francesco Mattioli;Italian sociologist;[];it
M07970;Francesco Mattioli;no;Q112387661;Francesco Mattioli;;[];it
M07970;Francesco Mattioli;no;Q79643801;Francesco Mattioli;researcher (ORCID 0000-0002-1481-668X);[];it
M08059;Alberto Maule;no;;;;;
M08221;Giusto Mazini;no;;;;;
M08412;Marco Mazzarino;no;;;;;
M08457;Spartaco Amilcare Mazzei;no;;;;;
M08457;Spartaco Mazzei;yes;;;;;
M08457;Amilcare Mazzei;yes;;;;;
M08534;Silvio Mazzietti;no;;;;;
M08726;Mario Mazzolini;no;;;;;
M08793;Ettore Ildebrando Mazzoni;no;;;;;
M08793;Ettore Mazzoni;yes;;;;;
M08793;Ildebrando Mazzoni;yes;;;;;
M08975;Luigi Mecagni;no;;;;;
M09005;Martino Meconi;no;;;;;
M09425;Bernardino Melis;no;;;;;
M09501;Francesco Mellone;no;;;;;
M09664;Ezio Menchetti;no;;;;;
M09818;Guido Menegon;no;;;;;
M10140;Giuseppe Merana;no;;;;;
M10184;Davide Mercatali;no;Q27978826;Davide Mercatali;Italian artist (born 1948);[];it
M10263;Leonardo Valentino Merenda;no;;;;;
M10263;Leonardo Merenda;yes;;;;;
M10263;Valentino Merenda;yes;;;;;
M10282;Fedele Meriggi;no;;;;;
M10389;Luigi Merlini;no;;;;;
M10551;Nicolo Mescola;no;;;;;
M10641;Messenzio Messori;no;;;;;
M10668;Adolfo Metafune;no;;;;;
M10749;Adolfo Mezzacapa;no;;;;;
M10822;Francesco Mezzoli;no;;;;;
M11044;Giov Battista Michelini;no;;;;;
M11044;Giov Michelini;yes;;;;;
M11044;Battista Michelini;yes;;;;;
M11085;Pietro Micheloni;no;;;;;
M11142;Angelo Michielon;no;;;;;
M11183;Alessandro Micozzi;no;;;;;
M11190;Manlio Micucci;no;;;;;
M11387;Raffaele Mignani;no;;;;;
M11772;Adriano Militi;no;;;;;
M12007;Sergio Minervini;no;;;;;
M12046;Ginesio Mingarelli;no;;;;;
M12316;Luigia Mira;no;;;;;
M12411;Augusto Mischi;no;;;;;
M12479;Giovanni Pietro Missio;no;;;;;
M12479;Giovanni Missio;yes;;;;;
M12479;Pietro Missio;yes;;;;;
M12482;Umberto Gioacchino Missio;no;;;;;
M12482;Umberto Missio;yes;;;;;
M12482;Gioacchino Missio;yes;;;;;
M12575;Filippo Mlacic;no;;;;;
M13088;Stefano Molinari;no;Q108913352;Stefano Molinari;Italian footballer;[];it
M13088;Stefano Molinari;no;Q37520825;Stefano Mulinari;Italian draftsman and engraver (1741–1790);['Stefano Molinari'];it
M13103;Raffaele Molinaro;no;;;;;
M13146;Emilio Mollar;no;;;;;
M13193;Mario Filippo Molteni;no;;;;;
M13193;Mario Molteni;yes;Q94639117;Mario Molteni;"sculptor; medalist (1935-1999)";[];it
M13193;Filippo Molteni;yes;;;;;
M13398;Giovanna Mondino;no;;;;;
M13626;Luigi Montagna;no;Q3839914;Bull Montana;Italian-American professional wrestler and actor (1887-1950);['Luigi Montagna'];it
M13626;Luigi Montagna;no;Q67518921;Luigi Montagna;;[];it
M13626;Luigi Montagna;no;Q3764095;Gigi Montagnani;;['Luigi Montagnani'];it
M13682;Giuseppe Montaini;no;;;;;
M13910;Aristodemo Montanini;no;;;;;
M14021;Remigio Montelatici;no;;;;;
M14117;Umberto Montesi;no;;;;;
M14539;Francesco Morandi;no;Q14823536;Francesco Marani;Italian architect;['Francesco Morandi'];it
M14539;Francesco Morandi;no;Q12130007;Franz Osipovich Morandi;Italian architect who worked in Russia;['Francesco Morandi'];it
M14539;Francesco Morandi;no;Q1073101;Francesco Morandini;Italian painter (1544-1597);[];it
M14539;Francesco Morandi;no;Q102364565;Francesco Morandin;Italian mathematician;[];it
M14539;Francesco Morandi;no;Q113801973;Francesco Morandini;;[];it
M14655;Francesco Moratti;no;Q19569624;Francesco Moratti;Italian c.1669–ca. 1719 F:0;[];it
M14655;Francesco Moratti;no;Q133624147;Francesco Moratti;;[];it
M14695;Camillo Mordacci;no;;;;;
M15081;Vincenzo Moretti;no;Q2118931;Vincenzo Moretti;Roman Catholic cardinal (1815-1881);[];it
M15081;Vincenzo Moretti;no;Q4013415;Vincenzo Moretti;Italian association football player;[];it
M15081;Vincenzo Moretti;no;Q21543717;Vincenzo Moretti;;[];it
M15081;Vincenzo Moretti;no;Q112660397;Vincenzo Moretti;;[];it
M15081;Vincenzo Moretti;no;Q111264587;Vincenzo Moretti;"Italian glass artist; born 1835 (1835–1901)";[];it
M15188;Aleardo Mori;no;;;;;
M15737;Adriano Mortillaro;no;;;;;
M15888;Tommaso Moscatelli;no;;;;;
M15920;Francesco Moschini;no;Q3750331;Francesco Moschini;"Italian architect; art critic and architectural historian";[];it
M16153;Alpinolo Mozzarelli;no;;;;;
M16212;Ante Mrsù;no;;;;;
M16244;Salvatore Mucci;no;;;;;
M16371;Mariano Mugognetti;no;;;;;
M16473;Pieri O Munnari;no;;;;;
M16473;Pieri Munnari;yes;;;;;
M16473;O Munnari;yes;;;;;
M16544;Maria Murdaca;no;;;;;
M16654;Giuseppe Musci;no;;;;;
M16839;Guglielmo Musso;no;;;;;
N00086;Angelo Naldi;no;;;;;
N00106;Pompeo Nale;no;;;;;
N00953;Mario Negrinotti;no;;;;;
N01075;Marco Nencini;no;;;;;
N01319;Tommaso Nessi;no;;;;;
N01368;Giovanni Nibrand;no;;;;;
N01382;Giovanni Nicchitta;no;;;;;
N01413;Bruno Niccoli;no;Q106627996;Bruno Niccoli;;[];it
N01413;Bruno Niccoli;no;Q16533943;Bruno Nicolini;Italian association football player;['Bruno Niccolini'];it
N01514;Agostino Nicoletti;no;;;;;
N01554;Daniele Nicoletto;no;;;;;
N01909;Teresa Noce;no;Q3984307;Teresa Noce;Italian politician (1900–1980);[];it
N02033;Alessandro Norini;no;;;;;
O00067;Angelo Occelli;no;;;;;
O00152;Antonio Odoero;no;;;;;
O00211;Maria Ogrin;no;;;;;
O00381;Francesco Olivieri;no;Q58177273;Francesco Olivieri;"researcher; ORCID id # 0000-0003-0838-9850";[];it
O00381;Francesco Olivieri;no;Q60557329;Francesco Olivieri;;[];it
O00472;Guerrando Olmi;no;;;;;
O00599;Leopoldo Giovanni Onorati;no;;;;;
O00599;Leopoldo Onorati;yes;;;;;
O00599;Giovanni Onorati;yes;;;;;
O00615;Marcello Opara;no;;;;;
O00809;Aldo Orlandi;no;;;;;
O00952;Matteo Orlando;no;Q59784717;Matteo Orlandi;;['Matteo Orlando'];it
O00984;Francesco Ornago;no;;;;;
O01140;Aristide Orsucci;no;;;;;
O01229;Amerigo Oselieri;no;;;;;
O01249;Giuseppe Ospedale;no;;;;;
O01400;Pietro Ottolia;no;;;;;
P00041;Ennio Pacchioni;no;;;;;
P00076;Floriano Pace;no;;;;;
P01518;Moreno Pancani;no;;;;;
P01519;Norberto Pancani;no;;;;;
P01610;Decio Panè;no;;;;;
P01702;Giuseppe Pani;no;Q59687306;Giuseppe Pani;researcher ORCID ID = 0000-0001-5198-8205;[];it
P01702;Giuseppe Pani;no;Q116678787;Giuseppe Pani;;[];it
P01702;Giuseppe Pani;no;Q19362060;Giuseppe Panico;Italian association football player;[];it
P01702;Giuseppe Pani;no;Q3771148;Giuseppe Panini;Italian entrepreneur (1925–1996);[];it
P01702;Giuseppe Pani;no;Q118309900;Giuseppe Panialis;Italian printer and bookseller (fl. 1768-1795);[];it
P01702;Giuseppe Pani;no;Q128120982;Giuseppe Panimolle;;[];it
P02027;Carlo Paoletti;no;Q3659692;Carlo Paoletti;Italian association football player (1917-2003);[];it
P02040;Giuseppe Paoletti;no;Q97592204;Giuseppe Paoletti;Italian painter (1813–1872);[];it
P02208;Giuseppe Paolino;no;;;;;
P02723;Valentino Paribocci;no;;;;;
P02939;Carlo Secondo Parodi;no;;;;;
P02939;Carlo Parodi;yes;;;;;
P02939;Secondo Parodi;yes;;;;;
P03108;Paolo Parronchi;no;;;;;
P03131;Antonio Parunov;no;;;;;
P03250;Vito Pasetto;no;;;;;
P03263;Giuseppe Pasi;no;Q16560954;Giuseppe Pasini;;[];it
P03263;Giuseppe Pasi;no;Q110209529;Giuseppe Pasinati;;[];it
P03263;Giuseppe Pasi;no;Q3771161;Giuseppe Pasino;Italian association football player;[];it
P03263;Giuseppe Pasi;no;Q102283769;Giuseppe Pasini;composer;[];it
P03263;Giuseppe Pasi;no;Q114122206;Giuseppe Pasini;;[];it
P03263;Giuseppe Pasi;no;Q127867374;Giuseppe Pasini e Amedeo Peyron nella Biblioteca universitaria di Torino;;[];it
P03279;Andrea Pasini;no;Q13101528;Andrea Pasini;(1911-1945);[];it
P03279;Andrea Pasini;no;Q56494041;Andrea Pasini;researcher;[];it
P03523;Cesira Pasquini;no;;;;;
P03526;Corrado Pasquini;no;;;;;
P03730;Natale Passoni;no;;;;;
P03734;Primo Passoni;no;;;;;
P03943;Sergio Patimo;no;;;;;
P04043;Giuseppe Patti;no;Q37370554;Giuseppe Patti;researcher;[];it
P04373;Ermenegildo Pavoni;no;;;;;
P04633;Gino Pedini;no;;;;;
P04696;Vittorio Pedrazzoli;no;;;;;
P04759;Isidoro Pedrini;no;;;;;
P04912;Dante Pelagatti;no;;;;;
P04963;Nicola Pelini;no;;;;;
P05098;Giovanni Pellegrini;no;Q1358364;Giovanni Antonio Pellegrini;Italian painter (1675-1741);['Giovanni Pellegrini'];it
P05098;Giovanni Pellegrini;no;Q79340647;Giovanni Pellegrini;Italian architect (1908-1995);[];it
