cpc_id;query;variant;qid;label;description;aliases;lang
J00144;Peter Jecelj;no;;;;;
B09881;Rodolfo Betazzoni;no;;;;;
D00380;Archilogo D'Annunzio;no;;;;;
F00460;Umberto Facca;no;;;;;
S00249;Carlo Sacchetti;no;Q3659818;Carlo Sacchetti;Italian television presenter;[];it
S00249;Carlo Sacchetti;no;Q132077136;Carlo Sacchettini Import(C.S.I);;[];it
S00400;Domenico Saccon;no;;;;;
S00598;Giuseppe Sala;no;Q17146774;Giuseppe Sala;Italian politician (1958);[];it
S00598;Giuseppe Sala;no;Q1084719;Giuseppe Antonio Sala;Italian cardinal;['Giuseppe Sala'];it
S00598;Giuseppe Sala;no;Q972118;Giuseppe Sala;Italian publisher;[];it
S00598;Giuseppe Sala;no;Q17146766;Giuseppe Sala;Wikimedia disambiguation page;[];it
S00598;Giuseppe Sala;no;Q55344397;Giuseppe Sala;researcher;[];it
S00598;Giuseppe Sala;no;Q111752907;Giuseppe Sala;Italian publicist and politician (1916-1970);[];it
S00598;Giuseppe Sala;no;Q61481854;Giuseppe Sala;author (1933-2014);[];it
S00598;Giuseppe Sala;no;Q112527181;Giuseppe Sala;;[];it
S00598;Giuseppe Sala;no;Q55005001;Giuseppe Salamanna;researcher;[];it
S00598;Giuseppe Sala;no;Q59668307;Giuseppe Salamone;researcher ORCID ID = 0000-0003-2658-1950;[];it
S00598;Giuseppe Sala;no;Q27835125;Giuseppe Salari;Italian politician;[];it
S00598;Giuseppe Sala;no;Q64744963;Giuseppe Salandri;Roman Catholic bishop (1822-1873);[];it
S00598;Giuseppe Sala;no;Q116250882;Giuseppe Saladini;Italian marine engineer;[];it
S00598;Giuseppe Sala;no;Q116250863;Gino Saladini;Italian physician and writer (born 1957);['Giuseppe Saladini'];it
S00598;Giuseppe Sala;no;Q23900806;Giuseppe Saladino;Italian Roman Catholic prelate;[];it
S00598;Giuseppe Sala;no;Q98109916;Giuseppe Salaroli;;[];it
S06667;Antonio Sigliano;no;;;;;
S05279;Olinto Sella;no;;;;;
S05283;Sorbet Silvio Sella;no;;;;;
S05283;Sorbet Sella;yes;;;;;
S05283;Silvio Sella;yes;;;;;
S03512;Antonino Scalisi;no;;;;;
S03544;Pietro Serafino Scalzi;no;;;;;
S03544;Pietro Scalzi;yes;;;;;
S03544;Serafino Scalzi;yes;;;;;
R04377;Giacomo Roberti;no;Q133694797;Giacomo Roberti;;[];it
R04377;Giacomo Roberti;no;Q90876750;Giacomo Roberti;researcher;[];it
M10228;Giovanni Mercuri;no;Q73542693;Giovanni Mercurino Arborio di Gattinara;bishop of the Roman Catholic Church;['Giovanni Mercurino Antonio Arborio di Gattinara'];it
M10228;Giovanni Mercuri;no;Q16211901;Giovanni Mercurio da Correggio;Italian itinerant preacher;[];it
M10228;Giovanni Mercuri;no;Q22740113;Mercurius de Vipera;bishop;['Giovanni Mercurio Vipera'];it
M10228;Giovanni Mercuri;no;Q106130783;Giovanni Mercurio;Italian psychiatrist (1916-1945);[];it
M10228;Giovanni Mercuri;no;Q21543332;Giovanni Mercurio Casolino;;[];it
D03118;Aldo De Min;no;;;;;
S09256;Evasio Spassino;no;;;;;
G06874;Luigi Giubbolini;no;;;;;
A00997;Angelo Giovanni Ala;no;;;;;
A00997;Angelo Ala;yes;;;;;
A00997;Giovanni Ala;yes;Q3766363;Giovanni Alamia;Italian actor and singer-songwriter (1951-2000);[];it
A00997;Giovanni Ala;yes;Q3766360;Giovanni Alasia;Italian politician (1927-2015);[];it
A00997;Giovanni Ala;yes;Q96245221;Giovanni Alasco;;[];it
A00997;Giovanni Ala;yes;Q136242204;Giovanni Alassane Camara;Italian basketball player (born 2005);[];it
A00997;Giovanni Ala;yes;Q66317695;Giovanni Alabiso;American actor;[];it
D04903;Ciro Della Biancia;yes;;;;;
M06666;Enrico Marzot;no;;;;;
B10052;Ulderico Betto;no;;;;;
G01850;Giovanni Gano;no;;;;;
F06631;Ermenegildo Foschini;no;;;;;
F01113;Tersilio Falugi;no;;;;;
A02483;Americo Amedeo Ambrogini;no;;;;;
A02483;Americo Ambrogini;yes;;;;;
A02483;Amedeo Ambrogini;yes;;;;;
C04739;Lodovico Carlotti;no;;;;;
P13477;Paolo Puccini;no;;;;;
F06308;Marino Fornaroli;no;;;;;
P09760;Michele Pisani;no;Q108677250;Michele Pisani;Italian economist (1975-);[];it
R06896;Leonardo Rossini;no;;;;;
P03053;Giovanni Parrella;no;Q120848943;Giovanni Parrella;;[];it
G08582;Luigi Grandi;no;;;;;
M05441;Quintilio Marmugi;no;;;;;
D07989;Giovanni Dorizzi;no;;;;;
M03334;Francesco Mapale;no;;;;;
N00360;Rinaldo Belisario Nardelli;no;;;;;
N00360;Rinaldo Nardelli;yes;;;;;
N00360;Belisario Nardelli;yes;;;;;
F05459;Emilio Floriani;no;;;;;
A05128;Bruno Arpesella;no;;;;;
L01744;Giovanni Lazzerini;no;;;;;
Q00192;Giuseppe Pietro Quarta;no;;;;;
Q00192;Giuseppe Quarta;yes;;;;;
Q00192;Pietro Quarta;yes;;;;;
I00955;Giuseppe Iorio;no;;;;;
M02470;Angelo Sebastiano Manente;no;;;;;
M02470;Angelo Manente;yes;;;;;
M02470;Sebastiano Manente;yes;;;;;
B19322;Giuseppe Buora;no;;;;;
S03131;Antonio Savorelli;no;;;;;
L01704;Ubaldo Lazzeretti;no;;;;;
L00969;Saturnino Lanzi;no;;;;;
O00512;Giulio Omicini;no;;;;;
Z00102;Ercole Zaccherini;no;;;;;
M09016;Giuseppe Meda;no;Q3108095;Giuseppe Meda;Italian painter (1534-1599);[];it
S05069;Celestino Sedmak;no;;;;;
G06431;Genuino Giovagnoli;no;;;;;
L04007;Nazzareno Lombezzi;no;;;;;
L03534;Antonino Lodato;no;;;;;
P01645;Lorenzo Panepinto;no;Q3837034;Lorenzo Panepinto;Italian politician (1865–1911);[];it
P01645;Lorenzo Panepinto;no;Q52819131;Lorenzo Panepinto;technical institute in Bivona in the province of Agrigento (Italy) [school id: AGTD01701Q];[];it
S04698;Amilcare Giovanni Scopsi;no;;;;;
S04698;Amilcare Scopsi;yes;;;;;
S04698;Giovanni Scopsi;yes;;;;;
G05451;Paolo Giansante;no;;;;;
M15848;Vincenzo Moscarelli;no;;;;;
M00769;Giuseppe Maggio;no;Q13468969;Giuseppe Maggio;Italian actor;[];it
M00769;Giuseppe Maggio;no;Q3770853;Giuseppe Maggio;Italian politician and physician (1890-1978);[];it
M00769;Giuseppe Maggio;no;Q124449012;Giuseppe Maggio;;[];it
M00769;Giuseppe Maggio;no;Q43189244;Giuseppe Maggiore;researcher;[];it
M00769;Giuseppe Maggio;no;Q3108079;Giuseppe Maggiolini;Italian cabinet maker (1738–1814);[];it
M00769;Giuseppe Maggio;no;Q3770856;Giuseppe Maggiore;Italian writer (1882–1954);[];it
M00769;Giuseppe Maggio;no;Q116017516;Giuseppe Maggiore;;[];it
S08649;Carlo Secondo Soriani;no;;;;;
S08649;Carlo Soriani;yes;;;;;
S08649;Secondo Soriani;yes;;;;;
S02205;Luigi Santucci;no;Q1876253;Luigi Santucci;Italian poet and writer (1918-1999);[];it
S02205;Luigi Santucci;no;Q98787780;Luigi Santucci;Italian soldier (1895-1935);[];it
S02205;Luigi Santucci;no;Q126877093;Luigi Santucci;writer (1886-1976);[];it
T03118;Catino Tomarchio;no;;;;;
B07114;Dante Benedetti;no;Q5221152;Dante Benedetti;American baseball coach (1919-2005);[];it
B07114;Dante Benedetti;no;Q5221153;Dante Benedetti Diamond at Max Ulrich Field;"park in San Francisco County; California; United States of America";[];it
L00790;Pietro Landoni;no;;;;;
P03120;Giov Battista Partesana;no;;;;;
P03120;Giov Partesana;yes;;;;;
P03120;Battista Partesana;yes;;;;;
V04949;Vittorio Volpi;no;Q93226125;Vittorio Volpi;Italian librarian (born 1953);[];it
V04949;Vittorio Volpi;no;Q111576996;Vittorio Volpi;Italian businessman (born 1939);[];it
V04949;Vittorio Volpi;no;Q111576853;Vittorio Volpi;Italian psychoanalyst (1936-1998);[];it
V04949;Vittorio Volpi;no;Q104093626;"Vittorio Volpi; DOC: Dizionario delle opere classiche";scholarly article published in Bollettino AIB;[];it
V03080;Domenico Lorenzo Viale;no;;;;;
V03080;Domenico Viale;yes;;;;;
V03080;Lorenzo Viale;yes;Q106717351;Lorenzo Viale;sentenced to death during the World War II;[];it
Q00224;Cesare Quattrini;no;;;;;
P06100;Tavaroni Battista Perini;no;;;;;
P06100;Tavaroni Perini;yes;;;;;
P06100;Battista Perini;yes;;;;;
T00136;Angelo Tacconi;no;;;;;
A00210;Giampiero Accettone;no;;;;;
G03725;Valentino Osvaldo Gerardini;no;;;;;
G03725;Valentino Gerardini;yes;;;;;
G03725;Osvaldo Gerardini;yes;;;;;
P08107;P Piccininni;no;;;;;
P09128;David Pini;no;Q5800267;David Pinillos;film director;[];it
P09128;David Pini;no;Q39794637;David Pinilla;;[];it
P09167;Angelo Pinna;no;;;;;
P09758;Italo Giulio Pisani;no;;;;;
P09758;Italo Pisani;yes;;;;;
P09758;Giulio Pisani;yes;Q70281376;Giulio Pisani;researcher;[];it
P10702;Ermete Poggi;no;;;;;
R07689;Emilio Ruotolo;no;;;;;
R07049;Pietro Rotella;no;;;;;
P13782;Luigi Puopolo;no;;;;;
P13448;Amedeo Puccilli;no;;;;;
P12734;Biagio Prestianni;no;;;;;
L05453;Antonio Lungarini;no;;;;;
C17096;Pasquale Cristofaro;no;;;;;
P04375;Giuseppe Pavoni;no;Q48766870;Giuseppe Pavoni;Italian typographer;[];it
D08513;Marco Durante;no;Q37834971;Marco Durante;researcher;[];it
D08513;Marco Durante;no;Q16575818;Marco Durante;Italian golfer;[];it
D08513;Marco Durante;no;Q30707579;Marco Durante;Wikimedia disambiguation page;[];it
D08513;Marco Durante;no;Q21173988;Marco Durante;Italian physicist;[];it
D07887;Vitaliano Alfonso Donnini;no;;;;;
D07887;Vitaliano Donnini;yes;;;;;
D07887;Alfonso Donnini;yes;;;;;
F08053;Enrico Frigerio;no;Q136242085;Enrico Frigerio;Italian basketball player (born 2005);[];it
