cpc;qid;nom1;nom2;nac1;nac2;sex1;sex2;pais1;pais2;ciudad1;ciudad2;oficio1;oficio2;padre1;padre2;afil1;afil2;num_ent;alias;eval_birth;eval_name;eval_sex;eval_country;eval_city;eval_father;eval_occupation;eval_affiliation;eval_city2
C16331;Q3839529;Luigi Costanzo;Luigi Costanzo;1875;1886;m;m;Italia;Italia|Regno d'Italia;Nicastro;Adami;orefice;insegnante di scuola superiore|sacerdote cattolico;Giuseppe;;socialista;sacerdote e insegnante italiano (1886-1958);4;;-1;1;1;1;-1;0;-1;0;0.2857142857142857
C16608;Q59310977;Luca Cozzolino;Luca Cozzolino;1863;0;m;m;Italia;;Portici;;agricoltore;ricercatore;Salvatore;;anarchico;researcher ORCID ID = 0000-0002-2993-3635;1;;-1;1;1;0;0;0;-1;0;0.0
C16964;Q215527;Domenico Crisci;Domenico Criscito;1900;1986;m;m;Italia;Italia;Carpineto Sinello;Cercola;contadino|ispettore di vigilanza;allenatore di calcio|calciatore;Sabatino;;socialista;calciatore italiano (1986-);1;;-1;-1;1;1;-1;0;-1;0;0.4444444444444444
C17322;Q111503910;Angelo Crotti;Angelo Crotti di Costigliole;1911;1774;m;m;Italia;Regno d'Italia;Correggio;Saluzzo;contadino;;Giuseppe;;comunista;;1;;-1;1;1;1;-1;0;0;0;0.25
C17412;Q1090742;Ernesto Cuc;Ernesto Cucchiaroni;1905;1927;m;m;Italia;Argentina;Sala Dora;Posadas;operaio;allenatore di calcio|calciatore;Giovanni;;antifascista;calciatore argentino;1;;-1;-1;1;-1;-1;0;-1;0;0.4
C17459;Q5479322;Francesco Cuccia;Francesco Cuccia;1904;1876;m;m;Italia;Regno d'Italia;Piana Dei Greci;Piana degli Albanesi;camiciaio;politico;Giuseppe;;comunista;politico e boss mafioso italiano;2;;-1;1;1;1;-1;0;-1;0;0.6666666666666667
C17459;Q60395226;Francesco Cuccia;Francesco Cuccia;1904;0;m;m;Italia;;Piana Dei Greci;;camiciaio;ricercatore;Giuseppe;;comunista;researcher (ORCID 0000-0003-0390-9511);2;;-1;1;1;0;0;0;-1;0;0.0
C17764;Q123029275;Giuseppe Curci;Giuseppe Curcio;1866;1959;m;m;Italia;Italia;Barletta;Milano;contadino;ingegnere;Nicola;;socialista;ingegnere italiano (1959-);6;;-1;-1;1;1;-1;0;-1;0;0.36363636363636365
C17764;Q136378960;Giuseppe Curci;Q136378960;1866;1950;m;m;Italia;;Barletta;;contadino;fisico teorico;Nicola;;socialista;fisico teorico (1950-2006);6;;-1;-1;1;0;0;0;-1;0;0.0
C17764;Q3770378;Giuseppe Curci;Giuseppe Curci;1866;1808;m;m;Italia;Regno d'Italia;Barletta;Barletta;contadino;compositore;Nicola;;socialista;compositore italiano;6;;-1;1;1;1;1;0;-1;0;1.0
C17764;Q3770379;Giuseppe Curci;Giuseppe Curcio;1866;1752;m;m;Italia;;Barletta;Napoli;contadino;compositore;Nicola;;socialista;compositore italiano;6;;-1;-1;1;0;-1;0;-1;0;0.4
C17764;Q87400359;Giuseppe Curci;Giuseppe Curci;1866;1929;m;m;Italia;Italia;Barletta;Trani;contadino;;Nicola;;socialista;;6;;-1;1;1;1;-1;0;0;0;0.33333333333333337
C17764;Q88596376;Giuseppe Curci;Giuseppe Curcio;1866;1973;m;m;Italia;Italia;Barletta;Salerno;contadino;professore universitario|psicologo;Nicola;;socialista;psicologo italiano (1973-);6;;-1;-1;1;1;-1;0;-1;0;0.5
C17778;Q133187839;Michele Curcio;Q133187839;1851;0;m;f;Italia;Francia;Pianopoli;;;scrittore;Nicolantonio;;socialista;autrice francese di pubblicazioni nei campi della parapsicologia, dell'astrologia e dell'occultismo;3;;-1;-1;-1;-1;0;0;0;0;0.0
C17778;Q133187865;Michele Curcio;Q133187865;1851;1971;m;m;Italia;;Pianopoli;;;ricercatore;Nicolantonio;;socialista;ricercatore in chirurgia, biotecnologie e immunologia dei trapianti (1971-);3;;-1;-1;1;0;0;0;0;0;0.0
C17778;Q87755711;Michele Curcio;Michele Curcio;1851;0;m;;Italia;;Pianopoli;;;ricercatore;Nicolantonio;;socialista;researcher;3;;-1;1;0;0;0;0;0;0;0.0
C17857;Q61993429;Giuseppe Curti;Giuseppe Curti;1894;1811;m;m;Italia;Svizzera;Reggio Emilia;Pambio Noranco;falegname;politico;Prospero;;comunista;insegnante e politico svizzero;2;;-1;1;1;-1;-1;0;-1;0;0.34782608695652173
C17857;Q93071292;Giuseppe Curti;Giuseppe Curti;1894;1560;m;m;Italia;;Reggio Emilia;;falegname;;Prospero;;comunista;;2;;-1;1;1;0;0;0;0;0;0.0
D00076;Q131277694;Giovanni D'Agostino;Giovanni D'Agostino;1901;1932;m;m;Stati Uniti America;Italia|Regno d'Italia;New York;Catania;ragioniere;pittore;Antonio;;comunista;pittore, insegnante di pittura (1932-2000);5;;-1;1;1;-1;-1;0;-1;0;0.0
D00076;Q3107517;Giovanni D'Agostino;Giovanni di Agostino;1901;1310;m;m;Stati Uniti America;;New York;Siena;ragioniere;architetto|scultore;Antonio;Agostino;comunista;scultore e architetto italiano;5;;-1;-1;1;0;-1;-1;-1;0;0.2857142857142857
D00135;Q3770386;Giuseppe D'Ali;Giuseppe D'Alì;1878;1832;m;m;Italia;Regno d'Italia;Ali;Trapani;meccanico;imprenditore|politico;Salvatore;;antifascista;imprenditore e politico italiano;1;;-1;1;1;1;-1;0;-1;0;0.5
D00234;Q3740833;Fedele D'Amico;Fedele D'Amico;1875;1912;m;m;Italia;Italia|Regno d'Italia;Ortucchio;Roma;operaio;critico musicale|critico teatrale|musicologo|professore universitario|traduttore;Antonio;Silvio;anarchico;musicologo e critico musicale italiano (1912-1990);1;;-1;1;1;1;-1;-1;-1;0;0.4
D00242;Q100423085;Giuseppe D'Amico;Giuseppe D'amico;1884;0;m;m;Italia;;Santa Croce di Magliano;;barbiere;ricercatore;Antonio;;antifascista;researcher;5;;-1;1;1;0;0;0;-1;0;0.0
D00242;Q112426976;Giuseppe D'Amico;Giuseppe D'Amico;1884;1929;m;m;Italia;;Santa Croce di Magliano;;barbiere;nefrologo;Antonio;;antifascista;;5;;-1;1;1;0;0;0;-1;0;0.0
D00242;Q131561885;Giuseppe D'Amico;Giuseppe D'Amico;1884;1983;m;m;Italia;Italia;Santa Croce di Magliano;;barbiere;contrabbassista;Antonio;;antifascista;Italian musical artist;5;;-1;1;1;1;0;0;-1;0;0.0
D00242;Q42859156;Giuseppe D'Amico;Giuseppe D'Amico Ricci;1884;0;m;m;Italia;;Santa Croce di Magliano;;barbiere;ricercatore;Antonio;;antifascista;researcher (ORCID 0000-0002-9022-4790);5;;-1;1;1;0;0;0;-1;0;0.0
D00242;Q89668758;Giuseppe D'Amico;Giuseppe D'Amico;1884;0;m;m;Italia;;Santa Croce di Magliano;;barbiere;ricercatore;Antonio;;antifascista;researcher (ORCID 0000-0002-6004-9311);5;;-1;1;1;0;0;0;-1;0;0.0
D00252;Q59786651;Salvatore D'Amico;Salvatore D'Amico;1873;0;m;;Italia;;Acireale;;;ricercatore;Ruggiero;;socialista;researcher ORCID ID = 0000-0003-0027-5381;2;;-1;1;0;0;0;0;0;0;0.0
D00252;Q90733540;Salvatore D'Amico;Salvatore D'Amico;1873;0;m;;Italia;;Acireale;;;ricercatore;Ruggiero;;socialista;researcher (ORCID 0000-0003-1801-7575);2;;-1;1;0;0;0;0;0;0;0.0
D00254;Q3472921;Santo D'Amico;Santo D'Amico;1897;1927;m;m;Italia;Italia|Regno d'Italia;Palermo;Siracusa;marmista;fumettista;Giuseppe;;socialista;fumettista italiano;1;;-1;1;1;1;-1;0;-1;0;0.25
D00318;Q111680613;Giuseppe D'Angelo;Giuseppe D'Angelo;1864;1959;m;m;Italia;Italia;Chieti;Salerno;cappellaio;contemporaneista;Vincenzo;;anarchico;contemporaneista italiano;15;;-1;1;1;1;-1;0;-1;0;0.19999999999999996
D00318;Q114458990;Francesco D'Angelo;Francesco D'Angelo;1864;2001;m;m;Italia;Italia;Chieti;Catania;cappellaio;canoista|cestista;Vincenzo;;anarchico;canoista e cestista italiano;15;;-1;1;1;1;-1;0;-1;0;0.5
D00318;Q116950264;Giuseppe D'Angelo;Giuseppe D'Angelo;1864;0;m;m;Italia;Italia;Chieti;;cappellaio;scrittore;Vincenzo;;anarchico;"studioso di storia locale di Castellammare di Stabia; soprintendente all'Archivio storico comunale (1943-)";15;;-1;1;1;1;0;0;-1;0;0.0
D00318;Q131912394;Giuseppe D'Angelo;Giuseppe D'Angelo;1864;0;m;m;Italia;Italia;Chieti;;cappellaio;scrittore;Vincenzo;;anarchico;scrittore italiano;15;;-1;1;1;1;0;0;-1;0;0.0
D00318;Q133091960;Giuseppe D'Angelo;Q133091960;1864;1955;m;m;Italia;;Chieti;Napoli;cappellaio;fisico;Vincenzo;;anarchico;;15;;-1;-1;1;0;-1;0;-1;0;0.2857142857142857
D00318;Q15830411;Francesco D'Angelo;Francesco d'Agnolo;1864;0;m;m;Italia;;Chieti;Firenze;cappellaio;pittore;Vincenzo;;anarchico;pittore italiano;15;"""Francesco d'Angelo Lanfranchi""";-1;-1;1;0;-1;0;-1;0;0.4
D00318;Q3081156;Francesco D'Angelo;Cecca;1864;1446;m;m;Italia;;Chieti;Firenze;cappellaio;ingegnere|scultore;Vincenzo;;anarchico;ingegnere italiano del XV secolo;15;;-1;-1;1;0;-1;0;-1;0;0.4
D00318;Q3770388;Giuseppe D'Angelo;Giuseppe D'Angelo;1864;1913;m;m;Italia;Italia|Regno d'Italia;Chieti;Calascibetta;cappellaio;politico|professore di filosofia;Vincenzo;;anarchico;politico italiano (1913-1991);15;;-1;1;1;1;-1;0;-1;0;0.5
D00318;Q43193222;Francesco D'Angelo;Francesco D'Angelo;1864;1984;m;m;Italia;Italia;Chieti;Roma;cappellaio;medievista|ricercatore|storico;Vincenzo;;anarchico;ricercatore italiano;15;;-1;1;1;1;-1;0;-1;0;0.0
D00318;Q5565395;Giuseppe D'Angelo;Giuseppe D'Angelo;1864;1951;m;m;Italia;Italia;Chieti;;cappellaio;canoista;Vincenzo;;anarchico;canoista italiano;15;;-1;1;1;1;0;0;-1;0;0.0
D00318;Q87473204;Giuseppe D'Angelo;Giuseppe D'Angelo;1864;1969;m;m;Italia;Italia;Chieti;Torino;cappellaio;ecclesiasticista|professore universitario;Vincenzo;;anarchico;ecclesiasticista italiano (1969-);15;;-1;1;1;1;-1;0;-1;0;0.2857142857142857
D00318;Q91149583;Giuseppe D'Angelo;Giuseppe D'Angelo;1864;0;m;m;Italia;;Chieti;;cappellaio;cardiologo;Vincenzo;;anarchico;cardiologo italiano;15;;-1;1;1;0;0;0;-1;0;0.0
D00337;Q111680613;Giuseppe D'Angelo;Giuseppe D'Angelo;1896;1959;m;m;Italia;Italia;Cisterna;Salerno;milite forestale;contemporaneista;Venanzio;;socialista;contemporaneista italiano;10;;-1;1;1;1;-1;0;-1;0;0.5454545454545454
D00337;Q116950264;Giuseppe D'Angelo;Giuseppe D'Angelo;1896;0;m;m;Italia;Italia;Cisterna;;milite forestale;scrittore;Venanzio;;socialista;"studioso di storia locale di Castellammare di Stabia; soprintendente all'Archivio storico comunale (1943-)";10;;-1;1;1;1;0;0;-1;0;0.0
D00337;Q131912394;Giuseppe D'Angelo;Giuseppe D'Angelo;1896;0;m;m;Italia;Italia;Cisterna;;milite forestale;scrittore;Venanzio;;socialista;scrittore italiano;10;;-1;1;1;1;0;0;-1;0;0.0
D00337;Q133091960;Giuseppe D'Angelo;Q133091960;1896;1955;m;m;Italia;;Cisterna;Napoli;milite forestale;fisico;Venanzio;;socialista;;10;;-1;-1;1;0;-1;0;-1;0;0.2857142857142857
D00337;Q3770388;Giuseppe D'Angelo;Giuseppe D'Angelo;1896;1913;m;m;Italia;Italia|Regno d'Italia;Cisterna;Calascibetta;milite forestale;politico|professore di filosofia;Venanzio;;socialista;politico italiano (1913-1991);10;;-1;1;1;1;-1;0;-1;0;0.4285714285714286
D00337;Q5565395;Giuseppe D'Angelo;Giuseppe D'Angelo;1896;1951;m;m;Italia;Italia;Cisterna;;milite forestale;canoista;Venanzio;;socialista;canoista italiano;10;;-1;1;1;1;0;0;-1;0;0.0
D00337;Q87473204;Giuseppe D'Angelo;Giuseppe D'Angelo;1896;1969;m;m;Italia;Italia;Cisterna;Torino;milite forestale;ecclesiasticista|professore universitario;Venanzio;;socialista;ecclesiasticista italiano (1969-);10;;-1;1;1;1;-1;0;-1;0;0.4444444444444444
D00337;Q91149583;Giuseppe D'Angelo;Giuseppe D'Angelo;1896;0;m;m;Italia;;Cisterna;;milite forestale;cardiologo;Venanzio;;socialista;cardiologo italiano;10;;-1;1;1;0;0;0;-1;0;0.0
D00367;Q601876;Antonio D'Aniello;Antonio D’Aniello;1889;1979;m;m;Italia;Italia;Nuoro;Napoli;negoziante|turacciolaio;ciclista;Bartolomeo;;socialista;ciclista italiano;3;;-1;-1;1;1;-1;0;-1;0;0.4444444444444444
D00422;Q328838;Salvatore D'Aquila;Salvatore D'Aquila;1854;1873;m;m;Italia;Stati Uniti d'America|Regno d'Italia;Palermo;Palermo;tornitore in legno;gangster;Vincenzo;;antifascista;mafioso italo-statunitense (1873-1928);1;;-1;1;1;1;1;0;-1;0;1.0
D00425;Q116004154;Antonio D'Aquino;Antonio d'Aquino, Signore di Grottaminarda;1890;0;m;m;Italia;;Misterbianco;;fornaio;;Mariano;;comunista;Abt 1350 - 1394;4;;-1;-1;1;0;0;0;0;0;0.0
D00425;Q131447146;Antonio D'Aquino;Antonio d'Aquino, Principe di Caramanico;1890;0;m;m;Italia;;Misterbianco;;fornaio;;Mariano;;comunista;2 Sep 1693 - 8 Mar 1775;4;;-1;-1;1;0;0;0;0;0;0.0
D00425;Q134304964;Antonio D'Aquino;Q134304964;1890;0;m;;Italia;;Misterbianco;;fornaio;politico;Mariano;;comunista;Deputato;4;;-1;-1;0;0;0;0;-1;0;0.0
D00425;Q23855502;Antonio D'Aquino;Antonio d'Aquino;1890;1565;m;m;Italia;;Misterbianco;Roma;fornaio;sacerdote cattolico;Mariano;;comunista;arcivescovo cattolico;4;;-1;1;1;0;-1;0;-1;0;0.4
D00703;Q105638016;Bartolomeo Da;Bartolomeo da Brescia;1869;1506;m;m;Italia;;Pieve Di Cadore;Brescia;cappellaio;calcografo;Dionisio;;socialista;calcografo italiano (1506-1576/1578);53;;-1;-1;1;0;-1;0;-1;0;0.4444444444444444
D00703;Q108448046;Bartolomeo Da;Bartolomeo da Benevento;1869;0;m;m;Italia;;Pieve Di Cadore;;cappellaio;sacerdote cattolico|vescovo cattolico;Dionisio;;socialista;vescovo cattolico;53;;-1;-1;1;0;0;0;-1;0;0.0
D00703;Q110100671;Agostino Da;Agostino Dall'Armi;1869;0;m;m;Italia;;Pieve Di Cadore;;cappellaio;cantante lirico;Dionisio;;socialista;cantante lirico;53;;-1;-1;1;0;0;0;-1;0;0.0
D00703;Q113679016;Bartolomeo Da;Bartolomeo Bonardo;1869;0;m;m;Italia;;Pieve Di Cadore;Parma;cappellaio;cartaio|editore;Dionisio;;socialista;cartaio ed editore italiano (fl. 1539-1552);53;Bartolomeo da Parma;-1;-1;1;0;-1;0;-1;0;0.4
D00703;Q127165047;Agostino Da;Agostino da Mozzanica;1869;0;m;m;Italia;;Pieve Di Cadore;;cappellaio;;Dionisio;;socialista;;53;;-1;-1;1;0;0;0;0;0;0.0
D00703;Q16556836;Agostino Da;Agostino Da Polenza;1869;1955;m;m;Italia;Italia;Pieve Di Cadore;Gazzaniga;cappellaio;alpinista;Dionisio;;socialista;alpinista italiano;53;Agostino Da Polenza;-1;1;1;1;-1;0;-1;0;0.23529411764705888
D00703;Q1775060;Bartolomeo Da;Bartolomeo da Bologna;1869;1405;m;m;Italia;;Pieve Di Cadore;;cappellaio;compositore;Dionisio;;socialista;compositore italiano;53;;-1;-1;1;0;0;0;-1;0;0.0
D00703;Q2016928;Agostino Da;Agostino de Fango;1869;1430;m;m;Italia;Repubblica di Venezia;Pieve Di Cadore;Biella;cappellaio;presbitero|religioso cristiano;Dionisio;;socialista;presbitero, religioso e beato italiano;53;Agostino da Biella;-1;-1;1;-1;-1;0;-1;0;0.4444444444444444
D00703;Q23581297;Agostino Da;Agostino da Bagnoregio;1869;0;m;m;Italia;;Pieve Di Cadore;;cappellaio;sacerdote cattolico|vescovo cattolico;Dionisio;;socialista;;53;;-1;-1;1;0;0;0;-1;0;0.0
D00703;Q24963143;Agostino Da;Agostino da Lanzano;1869;0;m;m;Italia;;Pieve Di Cadore;;cappellaio;sacerdote cattolico|vescovo cattolico;Dionisio;;socialista;vescovo cattolico;53;;-1;-1;1;0;0;0;-1;0;0.0
D00703;Q26742838;Agostino Da;Agostino da Montebello;1869;0;m;m;Italia;;Pieve Di Cadore;;cappellaio;pittore;Dionisio;;socialista;pittore attivo a Pavia;53;;-1;-1;1;0;0;0;-1;0;0.0
D00703;Q2827088;Agostino Da;Agostino Daldini;1869;1817;m;m;Italia;Svizzera;Pieve Di Cadore;Vezia;cappellaio;botanico;Dionisio;;socialista;sacerdote e botanico svizzero;53;;-1;-1;1;-1;-1;0;-1;0;0.4
D00703;Q2886103;Bartolomeo Da;Bartolomeo da Messina;1869;0;m;m;Italia;Regno di Sicilia;Pieve Di Cadore;Messina;cappellaio;traduttore;Dionisio;;socialista;traduttore italiano (XIII secolo);53;Bartolomeo da Messina;-1;-1;1;-1;-1;0;-1;0;0.4285714285714286
D00703;Q2886108;Bartolomeo Da;Bartolomeo da Cogorno;1869;0;m;m;Italia;Repubblica di Genova;Pieve Di Cadore;Cogorno;cappellaio;sacerdote cattolico;Dionisio;;socialista;cardinale italiano;53;;-1;-1;1;-1;-1;0;-1;0;0.4615384615384615
D00703;Q3606739;Agostino Da;Agostino Dal Pozzo;1869;1732;m;m;Italia;;Pieve Di Cadore;Rotzo;cappellaio;scrittore|storico;Dionisio;;socialista;abate, storico e scrittore italiano;53;;-1;-1;1;0;-1;0;-1;0;0.25
D00703;Q3606770;Agostino Da;Agostino Gormaz Velasco;1869;1507;m;m;Italia;Spagna;Pieve Di Cadore;Coruña del Conde;cappellaio;padre|sacerdote cattolico|vescovo|vescovo cattolico;Dionisio;;socialista;religioso e vescovo spagnolo;53;Agostino dalla Coruña;-1;-1;1;-1;-1;0;-1;0;0.43478260869565216
D00703;Q3606835;Agostino Da;Agostino da Norcia;1869;1301;m;m;Italia;;Pieve Di Cadore;;cappellaio;filosofo;Dionisio;;socialista;religioso, mistico e filosofo italiano;53;;-1;-1;1;0;0;0;-1;0;0.0
D00703;Q3606836;Agostino Da;Agostino da Scarperia;1869;1320;m;m;Italia;;Pieve Di Cadore;Scarperia;cappellaio;teologo;Dionisio;;socialista;religioso e teologo italiano;53;;-1;-1;1;0;-1;0;-1;0;0.4285714285714286
D00703;Q3635348;Bartolomeo Da;Bartolomeo Pellerano;1869;1300;m;m;Italia;;Pieve Di Cadore;Genova;cappellaio;pittore;Dionisio;;socialista;pittore italiano;53;;-1;-1;1;0;-1;0;-1;0;0.4
D00703;Q3635442;Bartolomeo Da;Bartolomeo da Saliceto;1869;1400;m;m;Italia;Stato Pontificio|Signoria di Bologna;Pieve Di Cadore;Bologna;cappellaio;giurista;Dionisio;;socialista;giurista italiano (XIV secolo-1411);53;;-1;-1;1;-1;-1;0;-1;0;0.19999999999999996
D00703;Q3635444;Bartolomeo Da;Bartolomeo da San Concordio;1869;1262;m;m;Italia;;Pieve Di Cadore;San Concordio di Moriano;cappellaio;aforista|scrittore;Dionisio;;socialista;scrittore e aforista italiano;53;Bartolomeo da San Concordio;-1;-1;1;0;-1;0;-1;0;0.4285714285714286
D00703;Q3635449;Bartolomeo Da;Bartolomeo di Capua;1869;1248;m;m;Italia;;Pieve Di Cadore;Capua;cappellaio;diplomatico|giurista|protonotario;Dionisio;Andrea;socialista;nobile e giurista italiano;53;Bartolomeo da Capua;-1;-1;1;0;-1;-1;-1;0;0.4
D00703;Q3643645;Bartolomeo Da;Brandano;1869;1488;m;m;Italia;;Pieve Di Cadore;Petroio;cappellaio;;Dionisio;;socialista;predicatore italiano;53;Bartolomeo da Petroio;-1;-1;1;0;-1;0;0;0;0.4444444444444444
D00703;Q3840241;Agostino Da;Agostino da Montefeltro;1869;1839;m;m;Italia;Regno d'Italia;Pieve Di Cadore;Sant'Agata Feltria;cappellaio;frate|predicatore|teologo cattolico;Dionisio;;socialista;francescano italiano;53;;-1;-1;1;1;-1;0;-1;0;0.2857142857142857
D00703;Q395722;Agostino Da;Agostino Steuco;1869;1497;m;m;Italia;Repubblica di Venezia;Pieve Di Cadore;Gubbio;cappellaio;bibliotecario|filologo|filosofo|sacerdote cattolico|scrittore|vescovo cattolico;Dionisio;;socialista;filologo, antiquario e filosofo italiano;53;Agostino da Gubbio;-1;-1;1;-1;-1;0;-1;0;0.33333333333333337
D00703;Q395759;Agostino Da;Agostino di Giovanni;1869;0;m;m;Italia;Italia;Pieve Di Cadore;Siena;cappellaio;architetto|scultore;Dionisio;;socialista;scultore e architetto italiano;53;;-1;-1;1;1;-1;0;-1;0;0.5
D00703;Q4694640;Agostino Da;Agostino da Vaprio;1869;0;m;m;Italia;;Pieve Di Cadore;;cappellaio;pittore;Dionisio;;socialista;pittore italiano del Rinascimento;53;Agostino da Vaprio;-1;-1;1;0;0;0;-1;0;0.0
D00703;Q4865300;Bartolomeo Da;Bartolomeo da Bologna;1869;0;m;m;Italia;;Pieve Di Cadore;Bologna;cappellaio;filosofo|missionario|teologo;Dionisio;;socialista;Dominican missionary and Bishop;53;Bartolomeo da Bologna;-1;-1;1;0;-1;0;-1;0;0.19999999999999996
D00703;Q4865301;Bartolomeo Da;Bartolomeo da Bologna;1869;0;m;m;Italia;;Pieve Di Cadore;Bologna;cappellaio;compositore|filosofo|teologo;Dionisio;;socialista;francescano e filosofo italiano (morto 1294);53;Bartolomeo da Bologna;-1;-1;1;0;-1;0;-1;0;0.19999999999999996
D00703;Q48812841;Bartolomeo Da;Bartolomeo da Amelia;1869;0;m;m;Italia;;Pieve Di Cadore;;cappellaio;sacerdote cattolico|vescovo cattolico;Dionisio;;socialista;vescovo cattolico italiano;53;;-1;-1;1;0;0;0;-1;0;0.0
D00703;Q55281866;Agostino Da;Agostino da Casanova;1869;1450;m;m;Italia;Repubblica di Genova;Pieve Di Cadore;Liguria;cappellaio;pittore;Dionisio;;socialista;pittore italiano;53;;-1;-1;1;-1;-1;0;-1;0;0.2857142857142857
D00703;Q5659931;Agostino Da;Agostino Dati;1869;1420;m;m;Italia;;Pieve Di Cadore;Siena;cappellaio;filologo|filosofo|linguista|storico|umanista;Dionisio;;socialista;oratore, storico e filosofo italiano;53;;-1;-1;1;0;-1;0;-1;0;0.5
D00703;Q59626496;Bartolomeo Da;Bartolomeo da Montagnana;1869;1400;m;m;Italia;;Pieve Di Cadore;;cappellaio;medico;Dionisio;;socialista;medico e filosofo italiano;53;Bartolomeo da Montagnana;-1;-1;1;0;0;0;-1;0;0.0
D00703;Q62066790;Agostino Da;Agostino Cazzuli;1869;1423;m;m;Italia;;Pieve Di Cadore;Crema;cappellaio;frate;Dionisio;;socialista;frate agostiniano (circa 1420-1495);53;Agostino da Crema;-1;-1;1;0;-1;0;-1;0;0.5714285714285714
D00703;Q64762411;Bartolomeo Da;Bartolomeo da Reggio;1869;0;m;m;Italia;;Pieve Di Cadore;Reggio Emilia;cappellaio;sacerdote cattolico;Dionisio;;socialista;arcivescovo cattolico;53;;-1;-1;1;0;-1;0;-1;0;0.33333333333333337
D00703;Q68867193;Agostino Da;Agostino da Siena;1869;0;m;m;Italia;;Pieve Di Cadore;;cappellaio;sacerdote cattolico|vescovo cattolico;Dionisio;;socialista;vescovo cattolico;53;;-1;-1;1;0;0;0;-1;0;0.0
D00703;Q705858;Bartolomeo Da;Bartolomeo da Breganze;1869;1200;m;m;Italia;;Pieve Di Cadore;Vicenza;cappellaio;sacerdote cattolico|vescovo cattolico;Dionisio;;socialista;vescovo e beato cattolico italiano (1200 - 1270);53;Bartolomeo da Breganze;-1;-1;1;0;-1;0;-1;0;0.4
D00703;Q809304;Bartolomeo Da;Bartolomeo da Brescia;1869;1200;m;m;Italia;;Pieve Di Cadore;Brescia;cappellaio;teologo;Dionisio;;socialista;teologo italiano;53;Bartolomeo da Brescia;-1;-1;1;0;-1;0;-1;0;0.4444444444444444
D00703;Q809391;Bartolomeo Da;Bartolomeo da Rinonico;1869;1338;m;m;Italia;;Pieve Di Cadore;Pisa;cappellaio;cronista|monaco|scrittore|storico|teologo cattolico;Dionisio;;socialista;francescano italiano;53;;-1;-1;1;0;-1;0;-1;0;0.6666666666666667
D00703;Q809513;Bartolomeo Da;Bartolomeo da Varignana;1869;1300;m;m;Italia;;Pieve Di Cadore;città metropolitana di Bologna;cappellaio;anatomista|court official|medico|professore universitario;Dionisio;;socialista;medieval Italian physician;53;;-1;-1;1;0;-1;0;-1;0;0.33333333333333337
D00708;Q10396164;Angelo Da;Ângelo da Cunha Pinto;1900;1948;m;m;Italia;Portogallo|Brasile;Voltri;Marco de Canaveses;marittimo;chimico|professore universitario;Luigi;;socialista;Brazilian-Portuguese chemist;52;;-1;-1;1;-1;-1;0;-1;0;0.2222222222222222
D00708;Q108424825;Angelo Da;Angelo da Camerino;1900;0;m;m;Italia;;Voltri;;marittimo;sacerdote cattolico;Luigi;;socialista;patriarca cattolico;52;;-1;-1;1;0;0;0;-1;0;0.0
D00708;Q13518302;Gerolamo Da;Girolamo da Santacroce;1900;1480;m;m;Italia;Repubblica di Venezia;Voltri;San Pellegrino Terme;marittimo;artista|pittore;Luigi;;socialista;pittore italiano;52;Gerolamo da Santa Croce;-1;-1;1;-1;-1;0;-1;0;0.5
D00708;Q1440424;Gerolamo Da;Girolamo dai Libri;1900;1474;m;m;Italia;Repubblica di Venezia;Voltri;Verona;marittimo;miniatore|pittore;Luigi;Francesco;socialista;pittore e miniatore italiano;52;Gerolamo dai Libri;-1;-1;1;-1;-1;-1;-1;0;0.5
D00708;Q16526833;Angelo Da;Angelo della Pergola;1900;1369;m;m;Italia;;Voltri;Pergola;marittimo;capitano di ventura;Luigi;;socialista;condottiero italiano;52;Angelo dal Foco;-1;-1;1;0;-1;0;-1;0;0.4444444444444444
D00708;Q17161649;Angelo Da;Angelo Dawkins;1900;1990;m;m;Italia;Stati Uniti d'America;Voltri;Cincinnati;marittimo;wrestler;Luigi;;socialista;wrestler statunitense;52;;-1;-1;1;-1;-1;0;-1;0;0.5
D00708;Q181980;Gerolamo Da;Girolamo da Treviso;1900;1497;m;m;Italia;Italia;Voltri;Treviso;marittimo;architetto|pittore|scultore;Luigi;;socialista;pittore italiano;52;Gerolamo da Treviso;-1;-1;1;1;-1;0;-1;0;0.36363636363636365
D00708;Q18944997;Angelo Da;Angelo Dalla Decima;1900;1752;m;m;Italia;Repubblica di Venezia;Voltri;Argostoli;marittimo;matematico|medico|naturalista;Luigi;;socialista;matematico italiano;52;;-1;-1;1;-1;-1;0;-1;0;0.6666666666666667
D00708;Q206302;Angelo Da;Angelo Daniel;1900;1933;m;m;Italia;Italia;Voltri;Montebelluna;marittimo;sacerdote cattolico|vescovo cattolico;Luigi;;socialista;vescovo cattolico italiano;52;;-1;-1;1;1;-1;0;-1;0;0.4
D00708;Q24239758;Gerolamo Da;Gerolamo Da Passano;1900;1818;m;m;Italia;Regno d'Italia;Voltri;Genova;marittimo;pedagogista|preside;Luigi;;socialista;pedagogista italiano;52;;-1;1;1;1;-1;0;-1;0;0.25
D00708;Q2485838;Gerolamo Da;Girolamo da Cremona;1900;1159;m;m;Italia;;Voltri;Cremona;marittimo;miniatore|pittore;Luigi;;socialista;miniatore italiano;52;Gerolamo da Cremona;-1;-1;1;0;-1;0;-1;0;0.25
